account_ref,name,c_address_1,c_address_2,c_address_3,c_address_4,c_address_5,vat_reg_number,member_id
3725,Club Travel Ltd,30 Lower Abbey Street,Dublin 2,Ireland,,Ireland,,161
3729,Molloy Travel Ltd,Connaught Street,Birr,County Offaly,Ireland,Ireland,,162
3825,Hendersons Travel,18 High Street,Hawick,Scotland,TD9 9EH,TD9 9EH,35851,163
3838,Mullingar Travel Ltd,Austin Friar Street,Mullingar,Co. Westmeath,Ireland,Ireland,,164
3839,Winscombe Travel,Corner House,Woodborough Road,Winscombe,Somerset,BS25 1AQ,56752659,165
3430,Brunlea Travel Worldchoice,47-49 Hammerton Street,Burnley,Lancashire,,BB11 1LT,375173147,127
3851,iTravel Worldchoice,6 Castle Street,Bray,Co Wicklow,Ireland,Ireland,,166
3855,Castle Travel,Main Street,Castlebar,Co. Mayo,Ireland,Ireland,,167
3859,Robinson Travel,Hanover Place,Northdown Road,Bideford,Devon,EX39 3LP,472347147,168
3863,A2B Travel Agents,154 Horn Lane,Acton,London,Greater London,W3 6PG,418917919,169
3872,Arcade Travel,36 Traill Street,Thurso,Caithness,Scotland,KW14 8EG,265443747,170
3873,Agnewlight Ltd,2 - 4 Reede Road,Dagenham,Essex,,RM10 8DP,3877637,171
3898,Premier Travel Agency Ltd,36 High Street,St Neots,Cambridgeshire,,PE19 1JE,,172
3901,Alan Skinner Travel Limited,3 West Quay,West Looe,Looe,Cornwall,PL13 2BX,381528639,173
3909,Dave Criddle Travel Ltd,12 The Bridge,Taunton,Somerset,,TA1 1UG,529715228,174
3917,Newells Travel,49 Fore Street,Hayle,Cornwall,,TR27 4DX,51566571,175
3920,Robins World Travel,16 High Street,Marlborough,Wiltshire,,SN8 1AA,4372583,176
3965,Athlone Travel,Travel House,Irishtown,Athlone,Co Westmeath,Ireland,,177
3994,Apex Travel Service,49 Market Street,New Mills,Stockport,Cheshire,SK22 4AA,157184354,178
4003,Barton-Knott Travel,11 The Nook,Anstey,Leicester,,LE7 7AG,39975192,179
4011,One World Travel,32 Market Street,Tandragee,Craigavon,Co Armagh,BT62 2BW,51758652,180
4013,Tristar Travel,23 Drogheda,Balbriggan,Co Dublin,Ireland,Ireland,,181
4024,Kennedy Travel (Yorkshire) Ltd,The Kennedy Building,48 Victoria Road,Leeds,,LS11 5AF,18297771,182
4030,Premier Travel - Reepham Road,161 Reepham Road,Norwich,Norfolk,,NR6 5NZ,15519688,183
4032,Premier Travel - Bedford Street,15 Bedford Street,Norwich,Norfolk,,NR2 1AR,15519688,184
4033,Premier Travel - Dereham,8 Church Street,Dereham,Norfolk,,NR19 1DJ,15519688,185
4034,TG Europe Ltd,Adamson House,Towers Business Park,Wilmslow Road,Didsbury,M20 2YY,,186
4060,Mallow Travel,151 West End,Mallow,Ireland,,,,187
4065,Court Travel,3 Mary Street,Dungarvan,Co Waterford,Ireland,,,188
4106,Voyana Ltd,Suite 8 Buckingham House East,The Broadway,2nd Floor,Stanmore,HA7 4EB,4247391,189
4110,Grapevine Travel,8 Victoria Square,Droitwich Spa,Worcestershire,,WR9 8DS,299188783,190
4118,Bluebird Travel Ltd,80 Seymour Place,London,,,W1H 2NG,39453861,191
4145,Independent Holidays,Richmond Buildings,37-41 Albert Road,Widnes,Cheshire,WA8 6JA,,192
4181,Breakaway Travel Ltd,1 White Hart Parade,Riverhead,Sevenoaks,Kent,TN13 2BJ,8213585,193
4420,Skylord Travel,208 Field End Road,Pinner,Eastcote,,HA5 1RD,55514965,194
4440,Crowthorne Travel,5 Summer Court,Mill Lane,"Sindlesham, Nr. Wokingham",Berks,RG41 5PU,,195
4578,Barton-Knott Travel Ltd - Beaumont,38 Fletcher Mall,Beaumont Shopping Centre,Beaumont Leys,Leicester,LE4 1DG,,179
4449,Tailor Made Travel (UK) Ltd T/A Regal Travel - Maesteg,28 Llynfi Road,Maesteg,,,CF34 9DS,,196
4450,Tailor Made Travel (UK) Ltd T/A Regal Travel - Porthcawl,90A John Street,Porthcawl,,,CF36 3DT,,196
4451,Tailor Made Travel (UK) Ltd T/A Regal Travel - Bridgend,Unit 1,4 Adare Street,Bridgend,,CF31 1EJ,,196
4453,Rutland Travel Ltd,9 High Street,Oakham,,,LE15 6AH,,197
4454,Tailor Made Travel - Newport,40-41 Llanarth Street,Newport,,,NP20 1HR,,198
4455,Tailor Made Travel - Canton,130 Cowbridge Road East,Cardiff,,,CF11 9ND,,199
4487,Westway Travel,,,,,,387775483,200
4489,Wroxham Travel - Aylsbury,29 Red Lion Street,Aylsham,,,NR11 6ER,,201
4490,Plane Travel,8 Mill Lane,Sawston,,,CB22 3HZ,722843341,202
4494,Beacon Travel Service,The Broadway,Crowborough,,,TN6 1DB,29638548,203
4546,Travelworld,3 Rolle Street,Exmouth,Devon,,EX8 1HL,866942278,204
4548,Travelworld - Sidmouth,47 High Street,Sidmouth,Devon,,EX10 8LN,,205
4549,Avora Travel Limited,CIBA Building,Suite 203E,146 Hagley Road,Birmingham,B16 9NX,,206
4452,Tailor Made Travel (UK) Ltd T/A Regal Travel - Port Talbot,2 Forge Road,Port Talbot,,,SA13 1NU,,196
4575,Travel Master Holidays Ltd-Oswestry,36 Beatrice Street,Oswestry,Shropshire,,SY11 1QG,6583745,207
4576,Travel Master Holidays Ltd-Whitchurch,2 The Bullring,Green End,Whitchurch,Shropshire,SY13 1AA,6583745,207
4577,Travel Master Holidays Ltd -Newtown,2 Shortbridge Street,Newtown,Powys,,SY16 2LW,6583745,207
4629,Red Carpet Travel,21 Rushes Meadow,Lynn,Cheshire,,Cheshire,,209
4700,R3 Affinity Alliance Ltd,Globe House,24 Turret Lane,Ipswich,,IP4 1DL,,210
4702,Now Travel Limited,38 Poppythorn Lane,Prestwich,,,M25 3BY,,211
4858,Lincolnshire Boston,Oldrids Department Store,17 Strait Bargate,Boston,Lincolnshire,PE21 6UF,,212
4868,Supreme World Travel,45 High Street,Acton,London,,,89479967,213
4882,Chillimix Limited - Blackpool,11 Birley Street,Blackpool,,,FY1 1EG,,214
4883,ChilliMix Limited - Cleveleys,92 Victoria Road West,Thornton-Cleveleys,,,FY5 1AG,,214
4884,ChilliMix Limited - Fleetwood,117 Lord Street,Fleetwood,,,FY7 6LB,,214
5060,Premier Travel Agency,Unit C,12 Buttermarket,Bury St Edmunds,Suffolk,IP33 1DB,,216
5062,Premier Travel Agency Ltd - Sudbury,2 Borehamgate Precinct,Kings Street,Sudbury,,CO10 2EG,,217
5063,Premier Travel Agency - Braintree,23 George Yard Shopping Centre,Braintree,,,CM7 1RB,,218
5070,Charter Travel,49 Greenacres,Woolton Hill,Newbury,Berkshire,Berkshire,533313381,219
5119,Bangor Travel,119 Main Street,Bangor,Belfast,,,,220
5357,High Ridings Travel,87B Low Lane,Birstall,West Yorkshire,,WF17 9HB,,221
5899,Inspire Europe Ltd,Victoria House,19-21 Ack Lane East,Bramhall,Cheshire,SK7 2BE,883634295,222
6174,Perfect Holidays Limited (previously Citiamex Ltd),PH Travel Limited,68 A George Lane,South Woodford,London,E18 1LW,,223
6386,Hackney Travel,31 Lower Clapton Road,Hackney,London,,,,224
6389,HPB Travel Club Ltd,HPB House,Newmarket,Suffolk,,CB8 8EH,,225
6409,Triangle Travel Ltd,128 Broadway,Didcot,Hampshire,,OX11 8AB,,226
6425,Business Flight Club,113-115 George Lane,London,,,E18 1AB,,227
6435,Holidays Your Way Ltd,6th Floor,Gwent House,Gwent Square,Cwmbran,NP44 1PL,,228
6487,Cadogan Travel Ltd,Cadogan House,37 Commercial Road,Southampton,,SO15 1GG,,229
6536,ME Travel,2nd Floor Banks Place,Market Place,Dartford,,DA1 1EX,,230
6724,Laver Holidays Ltd,25 Swan Street,Loughborough,Leicestershire,,LE11 5BL,,231
6865,Vale Travel,35a Market Place,Sturminster Newton,Dorset,,DT10 1AR,,232
6871,Skylinks Travel Ltd,33 London Road,Tooting,London,,SW17 9JR,,233
7000,MC Travel,Middlesbrough College,Dock Street,Middlesbrough,Cleveland,TS2 1AD,,234
7275,Claridon Travel DNU 2160,11 The Square,Keyworth,Nottingham,,NG12 5JT,19438413,236
7545,Pan Express Business Travel Ltd,505 Pinner Road,Harrow,Middlesex,,HA2 6EH,,237
7588,Thames Travel Ltd,373 Richmond Road East,Twickenham,,,TW1 2EF,,238
7650,AXA Travel Insurance,The Quadrangle,106-118 Station Road,Redhill,Surrey,RH1 1PR,,239
